Observation,Data_Marking,Statistical_Unit_Eng,Statistical_Unit_Cym,Measure_Type_Eng,Measure_Type_Cym,Oberservation_Type,Empty,Obs_Type_Value,Unit_Multiplyer,Unit_Of_Measure_Eng,Unit_Of_Measure_Cym,Confidentuality,Empty1,Geographic_Area,Empty2,Empty3,Time_Dim_Item_ID,Time_Dim_Item_Label_Eng,Time_Dim_Item_Label_Cym,Time_Type,Empty4,Statistical_Population_ID,Statistical_Population_Label_Eng,Statistical_Population_Label_Cym,CDID,CDIDDescrip,Empty5,Empty6,Empty7,Empty8,Empty9,Empty10,Empty11,Empty12,Dim_ID_1,Dimention_Label_Eng_1,Dimention_Label_Cym_1,Dim_Item_ID_1,Dimention_Item_Label_Eng_Male,Dimention_Item_Label_Cym_1,Is_Total_1,Is_Sub_Total_1,Dim_ID_2,Dimention_Label_Eng_2,Dimention_Label_Cym_2,Dim_Item_ID_2,Dimention_Item_Label_Eng_2,Dimention_Item_Label_Cym_2,Is_Total_2,Is_Sub_Total_2
127.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G60200,06.2 Out-patient services,,0,0,,,,,,,,
168.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G60300,06.3 Hospital services,,0,0,,,,,,,,
102.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G70100,07.1 Purchase of vehicles,,0,0,,,,,,,,
136,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G70200,07.2 Operation of personal transport equipment,,0,0,,,,,,,,
180.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G70300,07.3 Transport services,,0,0,,,,,,,,
226.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G80100,08.1 Postal services,,0,0,,,,,,,,
110.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G80200,08.2/3 Telephone and telefax equip,,0,0,,,,,,,,
41,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G90100,09.1 Audio-visual equipment and related products,,0,0,,,,,,,,
125.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G90200,9.2 Other major durables for recreation and culture,,0,0,,,,,,,,
97.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G90300,"09.3 Other recreational items, gardens and pets",,0,0,,,,,,,,
142.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G90400,09.4 Recreational and cultural services,,0,0,,,,,,,,
138.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G90500,"09.5 Books, newspapers and stationery",,0,0,,,,,,,,
128.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G90600,09.6 Package holidays,,0,0,,,,,,,,
244.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G100000,10.0 Education,,0,0,,,,,,,,
135.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G110100,11.1 Catering services,,0,0,,,,,,,,
125.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G110200,11.2 Accommodation services,,0,0,,,,,,,,
116.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G120100,12.1 Personal care,,0,0,,,,,,,,
134.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G120300,12.3 Personal effects (nec),,0,0,,,,,,,,
144.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G120400,12.4 Social protection,,0,0,,,,,,,,
167.1,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G120500,12.5 Insurance,,0,0,,,,,,,,
92.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G120600,12.6 Financial services (nec),,0,0,,,,,,,,
132.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1G120700,12.7 Other services (nec),,0,0,,,,,,,,
138.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10101,01.1.1 Bread and cereals,,0,0,,,,,,,,
138.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10102,01.1.2 Meat,,0,0,,,,,,,,
155,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10103,01.1.3 Fish,,0,0,,,,,,,,
132.1,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10104,"01.1.4 Milk, cheese and eggs",,0,0,,,,,,,,
153.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10105,01.1.5 Oils and fats,,0,0,,,,,,,,
142,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10106,01.1.6 Fruit,,0,0,,,,,,,,
137.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10107,01.1.7 Vegetables including potatoes and tubers,,0,0,,,,,,,,
154.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10108,"01.1.8 Sugar, jam, syrups, chocolate and confectionery",,0,0,,,,,,,,
124.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10109,01.1.9 Food products (nec),,0,0,,,,,,,,
148.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10201,"01.2.1 Coffee, tea and cocoa",,0,0,,,,,,,,
137.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S10202,"01.2.2 Mineral waters, soft drinks and juices",,0,0,,,,,,,,
131.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S20101,02.1.1 Spirits,,0,0,,,,,,,,
126.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S20102,02.1.2 Wine,,0,0,,,,,,,,
109,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S20103,02.1.3 Beer,,0,0,,,,,,,,
188.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S20200,02.2.0 Tobacco,,0,0,,,,,,,,
80.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S30102,03.1.2 Garments,,0,0,,,,,,,,
101.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S30103,03.1.3 Other clothing and clothing accessories,,0,0,,,,,,,,
132.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S30104,"03.1.4 Cleaning, repair and hire of clothing",,0,0,,,,,,,,
83.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S30200,03.2.0 Footwear including repairs,,0,0,,,,,,,,
129,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40100,04.1.0 Actual rentals for housing,,0,0,,,,,,,,
139.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40301,04.3.1 Materials for maintenance and repair,,0,0,,,,,,,,
118.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40302,04.3.2 Services for maintenance and repair,,0,0,,,,,,,,
147.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40401,04.4.1 Water supply,,0,0,,,,,,,,
154.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40403,04.4.3 Sewerage collection,,0,0,,,,,,,,
198.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40501,04.5.1 Electricity,,0,0,,,,,,,,
239.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40502,04.5.2 Gas,,0,0,,,,,,,,
136.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40503,04.5.3 Liquid fuels,,0,0,,,,,,,,
185.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S40504,04.5.4 Solid fuels,,0,0,,,,,,,,
118.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50101,05.1.1 Furniture and furnishings,,0,0,,,,,,,,
120.1,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50102,05.1.2 Carpets and other floor coverings,,0,0,,,,,,,,
96.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50200,05.2.0 Household Textiles,,0,0,,,,,,,,
107.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50301,05.3.1/2 Major appliances and small electric goods,,0,0,,,,,,,,
109,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50303,05.3.3 Repair of household appliances,,0,0,,,,,,,,
117.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50400,"05.4.0 Glassware, Tableware and Household Utensils",,0,0,,,,,,,,
135.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50500,05.5.0 Tools and equipment for House and Garden,,0,0,,,,,,,,
130.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50601,05.6.1 Non-durable household goods,,0,0,,,,,,,,
131.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S50602,05.6.2 Domestic services and household services,,0,0,,,,,,,,
115.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S60101,06.1.1 Pharmaceutical products,,0,0,,,,,,,,
105.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S60102,06.1.2/3 Other medical and therapeutic equipment,,0,0,,,,,,,,
120.1,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S60201,"06.2.1/3 Medical services, paramedical services",,0,0,,,,,,,,
136.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S60202,06.2.2 Dental services,,0,0,,,,,,,,
168.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S60300,06.3.0 Hospital Services,,0,0,,,,,,,,
123.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70102,07.1.2/3 Motorcycles and bicycles,,0,0,,,,,,,,
115.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70181,07.1.1 New Cars,,0,0,,,,,,,,
82.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70191,07.1.1b Second Hand Cars,,0,0,,,,,,,,
120.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70201,07.2.1 Spare parts and accessories,,0,0,,,,,,,,
130.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70202,07.2.2 Fuels and lubricants,,0,0,,,,,,,,
142,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70203,07.2.3 Maintenance and repairs,,0,0,,,,,,,,
128.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70204,07.2.4 Other services,,0,0,,,,,,,,
161.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70301,07.3.1 Passenger transport by railway,,0,0,,,,,,,,
140.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70302,07.3.2 Passenger transport by road,,0,0,,,,,,,,
152.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70303,07.3.3 Passenger transport by air,,0,0,,,,,,,,
187.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S70304,07.3.4 Passenger transport by sea and inland waterway,,0,0,,,,,,,,
226.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S80100,08.1.0 Postal Services,,0,0,,,,,,,,
110.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S80200,08.2.0 Telephone and Telefax Equipment & Services,,0,0,,,,,,,,
39.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90101,09.1.1 Reception and reproduction of sound and pictures,,0,0,,,,,,,,
11.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90102,"09.1.2 Photographic, cinematographic and optical equipment",,0,0,,,,,,,,
27.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90103,09.1.3 Data processing equipment,,0,0,,,,,,,,
80.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90104,09.1.4 Recording media,,0,0,,,,,,,,
121.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90105,"09.1.5 Repair of audio-visual equipment , related products",,0,0,,,,,,,,
125.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90201,09.2.1/2 Major durables for in/outdoor recreation,,0,0,,,,,,,,
83.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90301,"09.3.1 Games, toys and hobbies",,0,0,,,,,,,,
99.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90302,09.3.2 Equipment for sport and open-air recreation,,0,0,,,,,,,,
112.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90303,"09.3.3 Gardens, plants and flowers",,0,0,,,,,,,,
139,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90304,"09.3.4/5 Pets, related products and services",,0,0,,,,,,,,
146,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90401,09.4.1 Recreational and sporting services,,0,0,,,,,,,,
141.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90402,09.4.2 Cultural services,,0,0,,,,,,,,
126,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90501,09.5.1 Books,,0,0,,,,,,,,
157.9,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90502,09.5.2 Newspapers and periodicals,,0,0,,,,,,,,
125.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90503,"09.5.3/4 Misc. printed matter, stationery, drawing materials",,0,0,,,,,,,,
128.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S90600,09.6.0 Package Holidays,,0,0,,,,,,,,
244.3,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S100000,10.0.0 Education,,0,0,,,,,,,,
136.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S110101,"11.1.1 Restaurants, cafes",,0,0,,,,,,,,
128.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S110102,11.1.2 Canteens,,0,0,,,,,,,,
125.7,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S110200,11.2.0 Accommodation Services,,0,0,,,,,,,,
127.1,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S120101,12.1.1 Hairdressing and personal grooming establishments,,0,0,,,,,,,,
112.8,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S120102,12.1.2/3 Appliances and products for personal care,,0,0,,,,,,,,
149.2,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S120301,"12.3.1 Jewellery, clocks and watches",,0,0,,,,,,,,
106.5,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S120302,12.3.2 Other personal effects,,0,0,,,,,,,,
144.6,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S120400,12.4.0 Social Protection,,0,0,,,,,,,,
100.4,,,,,,,,,,,,,,,,,cpi201504,Apr-15,,Month,,,,,,,,,,,,,,,cpi1dim1aggid,Aggregate,,cpi1dim1S120502,12.5.2 House contents insurance,,0,0,,,,,,,,
