observation,data_marking,statistical_unit_eng,measure_type_eng,obs_type_value,unit_multiplier,unit_of_measure_eng,geographic_area,time_dim_item_id,time_type,statistical_population_id,Costs,SIC,Measure,Growth Period,SA / NSA
96.2,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour,ILCH_S Other Service Activities,Count,Annual,Seasonally adjusted
97,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Wage Costs per Hour,ILCH_S Other Service Activities,Count,Annual,Seasonally adjusted
91.8,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Other Costs per Hour,ILCH_S Other Service Activities,Count,Annual,Seasonally adjusted
96.3,,People,index,,1,Indices,UK,2000 Q1,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_S Other Service Activities,Count,Annual,Seasonally adjusted
104.4,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,"ILCH_A Agriculture, Forestry and Fishing",Count,Annual,Seasonally adjusted
104.9,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,"ILCH_A Agriculture, Forestry and Fishing",Count,Annual,Seasonally adjusted
104.5,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,"ILCH_A Agriculture, Forestry and Fishing",Count,Annual,Seasonally adjusted
104.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_A Agriculture, Forestry and Fishing",Count,Annual,Seasonally adjusted
97.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_B Mining and Quarrying,Count,Annual,Seasonally adjusted
99.3,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_B Mining and Quarrying,Count,Annual,Seasonally adjusted
92.2,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_B Mining and Quarrying,Count,Annual,Seasonally adjusted
100.3,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_B Mining and Quarrying,Count,Annual,Seasonally adjusted
97.5,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco ",Count,Annual,Seasonally adjusted
97.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco ",Count,Annual,Seasonally adjusted
95,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco ",Count,Annual,Seasonally adjusted
96.1,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco ",Count,Annual,Seasonally adjusted
101.6,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing",Count,Annual,Seasonally adjusted
100.1,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing",Count,Annual,Seasonally adjusted
104.4,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing",Count,Annual,Seasonally adjusted
100,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing",Count,Annual,Seasonally adjusted
100.3,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres,Count,Annual,Seasonally adjusted
100,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres,Count,Annual,Seasonally adjusted
99.6,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres,Count,Annual,Seasonally adjusted
99,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres,Count,Annual,Seasonally adjusted
102.4,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_C4 Manufacturing - Basic Metals and Metal Products,Count,Annual,Seasonally adjusted
102.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_C4 Manufacturing - Basic Metals and Metal Products,Count,Annual,Seasonally adjusted
99.8,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_C4 Manufacturing - Basic Metals and Metal Products,Count,Annual,Seasonally adjusted
100.2,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_C4 Manufacturing - Basic Metals and Metal Products,Count,Annual,Seasonally adjusted
98.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_C5 Manufacturing - Engineering and Allied Industries,Count,Annual,Seasonally adjusted
98.9,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_C5 Manufacturing - Engineering and Allied Industries,Count,Annual,Seasonally adjusted
96.4,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_C5 Manufacturing - Engineering and Allied Industries,Count,Annual,Seasonally adjusted
98,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_C5 Manufacturing - Engineering and Allied Industries,Count,Annual,Seasonally adjusted
98.1,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_C6 Other Manufacturing,Count,Annual,Seasonally adjusted
97.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_C6 Other Manufacturing,Count,Annual,Seasonally adjusted
98.2,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_C6 Other Manufacturing,Count,Annual,Seasonally adjusted
98.3,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_C6 Other Manufacturing,Count,Annual,Seasonally adjusted
96.6,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,"ILCH_D&E Electricity, Gas and Water Supply",Count,Annual,Seasonally adjusted
96.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,"ILCH_D&E Electricity, Gas and Water Supply",Count,Annual,Seasonally adjusted
96,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,"ILCH_D&E Electricity, Gas and Water Supply",Count,Annual,Seasonally adjusted
97.3,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,"ILCH_D&E Electricity, Gas and Water Supply",Count,Annual,Seasonally adjusted
98.9,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_F Construction,Count,Annual,Seasonally adjusted
98.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_F Construction,Count,Annual,Seasonally adjusted
101,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_F Construction,Count,Annual,Seasonally adjusted
99.3,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_F Construction,Count,Annual,Seasonally adjusted
97.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_G46 Wholesale Trade,Count,Annual,Seasonally adjusted
98,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_G46 Wholesale Trade,Count,Annual,Seasonally adjusted
96.2,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_G46 Wholesale Trade,Count,Annual,Seasonally adjusted
98.9,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_G46 Wholesale Trade,Count,Annual,Seasonally adjusted
99.9,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_G45&G47 Retail Trade and Repairs,Count,Annual,Seasonally adjusted
99.9,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_G45&G47 Retail Trade and Repairs,Count,Annual,Seasonally adjusted
99.4,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_G45&G47 Retail Trade and Repairs,Count,Annual,Seasonally adjusted
99.5,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_G45&G47 Retail Trade and Repairs,Count,Annual,Seasonally adjusted
98.5,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_H Transport and Storage,Count,Annual,Seasonally adjusted
98.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_H Transport and Storage,Count,Annual,Seasonally adjusted
96,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_H Transport and Storage,Count,Annual,Seasonally adjusted
98.6,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_H Transport and Storage,Count,Annual,Seasonally adjusted
99.5,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_I Accommodation and Food Service Activities,Count,Annual,Seasonally adjusted
99.7,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_I Accommodation and Food Service Activities,Count,Annual,Seasonally adjusted
96.9,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_I Accommodation and Food Service Activities,Count,Annual,Seasonally adjusted
99.9,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_I Accommodation and Food Service Activities,Count,Annual,Seasonally adjusted
97.4,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_J Information and Communication,Count,Annual,Seasonally adjusted
98.2,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Wage Costs per Hour,ILCH_J Information and Communication,Count,Annual,Seasonally adjusted
94.6,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Other Costs per Hour,ILCH_J Information and Communication,Count,Annual,Seasonally adjusted
99.1,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour Excluding Bonuses and Arrears,ILCH_J Information and Communication,Count,Annual,Seasonally adjusted
98.4,,People,index,,1,Indices,UK,2000 Q2,Quarter,Earnings,Labour Costs per Hour,ILCH_K Financial & Insurance Activities,Count,Annual,Seasonally adjusted
