Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4,Dimension_Hierarchy_5,Dimension_Name_5,Dimension_Value_5,Dimension_Hierarchy_6,Dimension_Name_6,Dimension_Value_6
923.0,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021548
501.5,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0006603
417.9,,0.1,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0006604
125.5,,0.4,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021538
210.9,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021539
252.0,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021540
286.7,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021541
349.2,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021543
493.7,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021544
586.6,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021545
644.2,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021546
709.1,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021547
913.6,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021548
501.3,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0006603
415.3,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0006604
124.2,,0.4,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021538
211.8,,0.4,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021539
251.0,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021540
286.0,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021541
348.4,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021543
491.6,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021544
584.5,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021545
642.3,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021546
704.4,,0.1,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021547
909.8,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021548
491.3,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0006603
405.8,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0006604
121.1,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021538
207.2,,0.4,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021539
246.4,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021540
279.7,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021541
341.2,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021543
482.3,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021544
574.9,,0.1,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021545
629.4,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021546
693.4,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021547
893.5,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0006618,CL_0000699,Earnings Statistics,CI_0021548
612.8,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0006603
517.5,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0006604
204.3,,0.7,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021538
311.6,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021539
346.1,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021540
380.0,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021541
446.7,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021543
595.5,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021544
691.7,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021545
752.5,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021546
825.5,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021547
1079.2,,0.4,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021548
606.1,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0006603
507.4,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0006604
196.2,,0.9,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021538
300.7,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021539
336.2,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021540
370.0,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021541
436.6,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021543
586.5,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021544
684.6,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021545
746.1,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021546
816.7,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021547
1064.8,,0.5,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021548
611.6,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0006603
507.8,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0006604
202.3,,0.9,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021538
303.6,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021539
339.0,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021540
372.0,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021541
439.1,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021543
588.2,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021544
686.7,,0.2,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021545
747.3,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021546
818.9,,0.3,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021547
1071.0,,0.4,time,Year,2013,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021548
596.9,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0006603
498.1,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0006604
199.7,,0.8,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021538
297.4,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021539
330.2,,0.2,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021540
361.9,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021541
426.0,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021543
575.1,,0.1,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021544
671.0,,0.1,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021545
728.3,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021546
800.6,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021547
1048.7,,0.3,time,Year,2012,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005430,CL_0000699,Earnings Statistics,CI_0021548
401.6,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0006603
338.0,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0006604
103.5,,0.5,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021538
162.1,,0.5,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021539
193.3,,0.4,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021540
223.0,,0.4,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021541
280.6,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021543
402.4,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021544
481.1,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021545
532.6,,0.2,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021546
593.7,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021547
762.8,,0.3,time,Year,2015,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021548
395.0,,0.2,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0006603
330.4,,0.3,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0006604
98.2,,0.7,time,Year,2014,2013WARDH,Geographic_Hierarchy,K02000001,CL_0000700,Earnings,CI_0021537,CL_0000696,Working Pattern,CI_0006618,CL_0000712,Sex,CI_0005444,CL_0000699,Earnings Statistics,CI_0021538
